Passer (id),Receiver (id),Start Time (s),Duration (s),End Time (s)
17,12,0.0,4.16,4.16
16,15,0.0,5.04,5.04
3,30,11.56,1.2799999999999994,12.84
30,1,13.48,0.4800000000000004,13.96
1,3,14.84,0.8000000000000007,15.64
3,30,15.72,0.9199999999999999,16.64
28,35,16.92,0.23999999999999844,17.16
35,28,17.2,1.0800000000000018,18.28
30,1,18.72,0.3200000000000003,19.04
8,25,19.08,2.5600000000000023,21.64
25,8,19.08,3.960000000000001,23.04
8,37,28.2,0.6000000000000014,28.8
37,30,29.4,0.9600000000000009,30.36
10,45,30.64,0.3999999999999986,31.04
46,45,32.6,3.3200000000000003,35.92
45,46,32.6,3.6000000000000014,36.2
46,45,32.6,4.159999999999997,36.76
45,46,32.6,4.519999999999996,37.12
