Passer (id),Receiver (id),Start Time (s),Duration (s),End Time (s)
37,4,6.8,3.12,9.92
4,37,6.8,3.3199999999999994,10.12
37,6,10.4,1.0,11.4
47,25,10.4,5.119999999999999,15.52
25,47,10.4,5.279999999999999,15.68
47,57,18.84,0.7199999999999989,19.56
57,33,22.52,0.4800000000000004,23.0
33,57,23.32,0.5199999999999996,23.84
57,83,25.28,1.0,26.28
83,84,26.64,2.599999999999998,29.24
84,89,29.6,2.960000000000001,32.56
89,103,32.64,0.6799999999999997,33.32
103,117,33.48,4.240000000000002,37.72
117,137,37.88,6.8799999999999955,44.76
