Passer (id),Receiver (id),Start Time (s),Duration (s),End Time (s)
13,16,3.16,1.08,4.24
16,24,5.04,2.6799999999999997,7.72
24,25,8.0,2.84,10.84
25,30,12.32,2.039999999999999,14.36
30,36,14.72,6.720000000000001,21.44
36,25,21.68,3.5599999999999987,25.24
25,56,21.68,9.16,30.84
