Passer (id),Receiver (id),Start Time (s),Duration (s),End Time (s)
5,7,8.88,1.08,9.96
38,40,16.0,1.120000000000001,17.12
42,56,22.44,1.5199999999999996,23.96
68,77,29.88,2.080000000000002,31.96
