Passer (id),Receiver (id),Start Time (s),Duration (s),End Time (s)
25,2,0.0,8.28,8.28
2,13,8.56,4.68,13.24
13,3,8.56,5.879999999999999,14.44
3,42,8.56,9.72,18.28
42,43,20.24,0.4400000000000013,20.68
43,52,23.0,2.6000000000000014,25.6
52,73,25.68,5.080000000000002,30.76
73,79,31.0,1.6000000000000014,32.6
79,81,31.0,2.6000000000000014,33.6
81,35,31.0,4.840000000000003,35.84
35,71,31.0,6.200000000000003,37.2
71,85,31.0,6.399999999999999,37.4
85,71,31.0,7.240000000000002,38.24
71,85,31.0,7.600000000000001,38.6
85,35,31.0,9.920000000000002,40.92
21,66,42.88,2.6799999999999997,45.56
66,70,42.88,2.960000000000001,45.84
70,66,42.88,3.3999999999999986,46.28
66,70,42.88,3.5999999999999943,46.48
70,66,42.88,4.159999999999997,47.04
66,113,47.52,11.439999999999998,58.96
113,122,47.52,12.639999999999993,60.16
122,123,47.52,12.839999999999996,60.36
123,114,60.56,0.4799999999999969,61.04
114,112,60.56,1.3599999999999994,61.92
112,104,62.44,0.9600000000000009,63.4
104,113,63.84,0.3199999999999932,64.16
113,122,63.84,1.0,64.84
122,130,63.84,1.9200000000000017,65.76
130,112,63.84,2.799999999999997,66.64
112,114,66.68,1.1999999999999886,67.88
114,136,70.92,1.5600000000000023,72.48
136,132,72.56,7.200000000000003,79.76
