Epoch,Metric Type,IoU,Area,maxDets,Value
0,Precision,0.50:0.95,all,100,0.074
0,Precision,0.50,all,100,0.142
0,Precision,0.75,all,100,0.067
0,Precision,0.50:0.95,small,100,0.049
0,Precision,0.50:0.95,medium,100,0.055
0,Precision,0.50:0.95,large,100,0.129
0,Recall,0.50:0.95,all,1,0.078
0,Recall,0.50:0.95,all,10,0.154
0,Recall,0.50:0.95,all,100,0.273
0,Recall,0.50:0.95,small,100,0.224
0,Recall,0.50:0.95,medium,100,0.208
0,Recall,0.50:0.95,large,100,0.357
1,Precision,0.50:0.95,all,100,0.100
1,Precision,0.50,all,100,0.193
1,Precision,0.75,all,100,0.093
1,Precision,0.50:0.95,small,100,0.078
1,Precision,0.50:0.95,medium,100,0.090
1,Precision,0.50:0.95,large,100,0.170
1,Recall,0.50:0.95,all,1,0.081
1,Recall,0.50:0.95,all,10,0.164
1,Recall,0.50:0.95,all,100,0.286
1,Recall,0.50:0.95,small,100,0.236
1,Recall,0.50:0.95,medium,100,0.281
1,Recall,0.50:0.95,large,100,0.373
