data,epoch,eta,loss,loss_box_reg,loss_classifier,loss_objectness,loss_rpn_box_reg,lr,max_mem,step,time
1.9246,0,1,1.8199,0.3007,1.0259,0.4080,0.0853,0.000010,8175,0,8.6499
0.0002,0,2:43:12,0.7917,0.3395,0.2305,0.0944,0.1048,0.000509,8510,100,0.8484
0.0001,0,2:34:50,0.5523,0.2263,0.1837,0.0605,0.0607,0.001009,8510,200,0.8476
0.0001,0,2:30:59,0.5244,0.2015,0.1853,0.0562,0.0689,0.001508,8510,300,0.8432
0.0001,0,2:28:22,0.4610,0.1660,0.1695,0.0467,0.0846,0.002008,8510,400,0.8459
0.0001,0,2:26:14,0.4341,0.1856,0.1809,0.0325,0.0430,0.002507,8510,500,0.8433
0.0002,0,2:24:21,0.4744,0.1828,0.1816,0.0342,0.0390,0.003007,8510,600,0.8448
0.0001,0,2:22:37,0.4262,0.1677,0.1687,0.0302,0.0452,0.003506,8510,700,0.8463
0.0001,0,2:20:56,0.4605,0.1827,0.1711,0.0376,0.0544,0.004006,8510,800,0.8450
0.0001,0,2:19:20,0.4482,0.1691,0.1642,0.0249,0.0454,0.004505,8510,900,0.8437
0.0001,0,2:17:44,0.4641,0.1834,0.1828,0.0310,0.0536,0.005000,8510,1000,0.8433
0.0001,0,2:16:12,0.4401,0.1791,0.1722,0.0285,0.0398,0.005000,8510,1100,0.8475
0.0001,0,2:14:41,0.4331,0.1700,0.1770,0.0266,0.0371,0.005000,8510,1200,0.8448
0.0001,0,2:13:10,0.4462,0.1830,0.1782,0.0251,0.0463,0.005000,8510,1300,0.8426
0.0001,0,2:11:42,0.4124,0.1685,0.1684,0.0215,0.0359,0.005000,8510,1400,0.8470
0.0001,0,2:10:13,0.4252,0.1811,0.1638,0.0204,0.0479,0.005000,8510,1500,0.8424
0.0001,0,2:08:45,0.4116,0.1667,0.1631,0.0218,0.0359,0.005000,8510,1600,0.8454
0.0001,0,2:07:17,0.4341,0.1815,0.1772,0.0223,0.0535,0.005000,8510,1700,0.8494
0.0001,0,2:05:50,0.4032,0.1550,0.1589,0.0281,0.0356,0.005000,8510,1800,0.8435
0.0001,0,2:04:24,0.3724,0.1573,0.1626,0.0203,0.0425,0.005000,8510,1900,0.8470
0.0001,0,2:02:57,0.4220,0.1683,0.1746,0.0214,0.0441,0.005000,8510,2000,0.8442
0.0001,0,2:01:31,0.4364,0.1852,0.1732,0.0247,0.0305,0.005000,8510,2100,0.8440
0.0001,0,2:00:06,0.4330,0.1816,0.1656,0.0233,0.0492,0.005000,8510,2200,0.8447
0.0001,0,1:58:39,0.4256,0.1919,0.1767,0.0218,0.0255,0.005000,8510,2300,0.8490
0.0001,0,1:57:13,0.3832,0.1531,0.1644,0.0225,0.0392,0.005000,8510,2400,0.8455
0.0001,0,1:55:47,0.3789,0.1623,0.1641,0.0161,0.0277,0.005000,8510,2500,0.8439
0.0001,0,1:54:21,0.4461,0.1826,0.1803,0.0212,0.0377,0.005000,8510,2600,0.8441
0.0001,0,1:52:55,0.4229,0.1743,0.1746,0.0202,0.0246,0.005000,8510,2700,0.8437
0.0001,0,1:51:30,0.4340,0.1731,0.1740,0.0201,0.0388,0.005000,8510,2800,0.8487
0.0001,0,1:50:04,0.3920,0.1662,0.1665,0.0195,0.0261,0.005000,8510,2900,0.8482
0.0001,0,1:48:39,0.4367,0.1871,0.1782,0.0197,0.0308,0.005000,8510,3000,0.8443
0.0001,0,1:47:13,0.3829,0.1499,0.1613,0.0196,0.0347,0.005000,8510,3100,0.8421
0.0001,0,1:45:47,0.3891,0.1644,0.1739,0.0165,0.0309,0.005000,8510,3200,0.8439
0.0001,0,1:44:22,0.4361,0.1831,0.1793,0.0181,0.0370,0.005000,8510,3300,0.8451
0.0001,0,1:42:57,0.3993,0.1617,0.1683,0.0165,0.0273,0.005000,8510,3400,0.8463
0.0001,0,1:41:32,0.3794,0.1633,0.1612,0.0183,0.0359,0.005000,8510,3500,0.8458
0.0001,0,1:40:07,0.4293,0.1802,0.1809,0.0230,0.0383,0.005000,8510,3600,0.8459
0.0001,0,1:38:41,0.3874,0.1670,0.1593,0.0152,0.0202,0.005000,8510,3700,0.8459
0.0001,0,1:37:16,0.3736,0.1635,0.1604,0.0177,0.0216,0.005000,8510,3800,0.8465
0.0001,0,1:35:51,0.3925,0.1693,0.1690,0.0202,0.0225,0.005000,8510,3900,0.8458
0.0001,0,1:34:26,0.4329,0.1796,0.1791,0.0200,0.0313,0.005000,8510,4000,0.8435
0.0001,0,1:33:01,0.4162,0.1798,0.1763,0.0218,0.0374,0.005000,8510,4100,0.8462
0.0001,0,1:31:36,0.4025,0.1638,0.1654,0.0196,0.0338,0.005000,8510,4200,0.8426
0.0001,0,1:30:11,0.4263,0.1790,0.1843,0.0177,0.0265,0.005000,8510,4300,0.8466
0.0001,0,1:28:45,0.3945,0.1597,0.1690,0.0164,0.0303,0.005000,8510,4400,0.8442
0.0001,0,1:27:20,0.4165,0.1810,0.1718,0.0209,0.0371,0.005000,8510,4500,0.8475
0.0001,0,1:25:55,0.4277,0.1910,0.1834,0.0165,0.0237,0.005000,8510,4600,0.8458
0.0001,0,1:24:31,0.4307,0.1894,0.1808,0.0180,0.0323,0.005000,8510,4700,0.8424
0.0001,0,1:23:06,0.3810,0.1669,0.1617,0.0177,0.0347,0.005000,8510,4800,0.8455
0.0001,0,1:21:41,0.3929,0.1641,0.1729,0.0158,0.0265,0.005000,8510,4900,0.8435
0.0001,0,1:20:16,0.4120,0.1651,0.1666,0.0301,0.0342,0.005000,8510,5000,0.8469
0.0001,0,1:18:51,0.4052,0.1746,0.1785,0.0169,0.0315,0.005000,8510,5100,0.8463
0.0001,0,1:17:26,0.4338,0.1767,0.1778,0.0166,0.0398,0.005000,8510,5200,0.8430
0.0001,0,1:16:01,0.3568,0.1531,0.1594,0.0135,0.0233,0.005000,8510,5300,0.8420
0.0001,0,1:14:36,0.4014,0.1680,0.1694,0.0194,0.0275,0.005000,8510,5400,0.8449
0.0001,0,1:13:11,0.4010,0.1619,0.1728,0.0154,0.0240,0.005000,8510,5500,0.8454
