data,epoch,eta,loss,loss_box_reg,loss_classifier,loss_objectness,loss_rpn_box_reg,lr,max_mem,step,time
0.7158,0,0:14:45,1.6547,0.0755,0.9956,0.4438,0.1398,0.000014,9086,0,1.6549
0.0658,0,0:06:25,1.5920,0.1271,0.7599,0.4018,0.1658,0.000108,9440,10,0.7339
0.0006,0,0:05:54,1.1865,0.2358,0.4388,0.2978,0.1607,0.000201,9440,20,0.6399
0.0004,0,0:05:41,0.9950,0.2965,0.3678,0.1910,0.1315,0.000295,9440,30,0.6445
0.0004,0,0:05:29,0.8020,0.2958,0.2582,0.1137,0.1052,0.000389,9440,40,0.6440
0.0004,0,0:05:20,0.7830,0.2996,0.2521,0.0856,0.1046,0.000482,9440,50,0.6379
0.0004,0,0:05:12,0.7688,0.3280,0.2348,0.0833,0.1060,0.000576,9440,60,0.6389
0.0004,0,0:05:05,0.7770,0.3280,0.2250,0.0971,0.1060,0.000669,9440,70,0.6457
0.0004,0,0:04:57,0.7107,0.2879,0.2095,0.0971,0.1026,0.000763,9440,80,0.6443
0.0004,0,0:04:50,0.6781,0.2761,0.1929,0.0895,0.0864,0.000856,9441,90,0.6369
0.0004,0,0:04:43,0.6799,0.2701,0.1993,0.0868,0.0864,0.000950,9441,100,0.6452
0.0004,0,0:04:36,0.6904,0.2701,0.2117,0.0835,0.0958,0.001043,9441,110,0.6462
0.0004,0,0:04:29,0.6751,0.2907,0.2176,0.0709,0.0763,0.001137,9442,120,0.6401
0.0004,0,0:04:23,0.6302,0.2528,0.2079,0.0618,0.0857,0.001230,9442,130,0.6414
0.0005,0,0:04:16,0.6254,0.2528,0.2142,0.0618,0.0734,0.001324,9442,140,0.6482
0.0005,0,0:04:10,0.6219,0.2680,0.2168,0.0607,0.0748,0.001417,9442,150,0.6467
0.0005,0,0:04:03,0.6278,0.2680,0.2129,0.0607,0.0748,0.001511,9442,160,0.6399
0.0005,0,0:03:56,0.6278,0.2648,0.2148,0.0620,0.0745,0.001605,9442,170,0.6404
0.0005,0,0:03:50,0.6562,0.2831,0.2214,0.0592,0.0858,0.001698,9442,180,0.6468
0.0005,0,0:03:43,0.6529,0.2771,0.2214,0.0603,0.0858,0.001792,9442,190,0.6487
0.0004,0,0:03:37,0.6316,0.2457,0.2087,0.0618,0.0925,0.001885,9442,200,0.6414
0.0004,0,0:03:30,0.5751,0.2365,0.1953,0.0618,0.0647,0.001979,9442,210,0.6444
0.0004,0,0:03:23,0.5600,0.2324,0.1963,0.0547,0.0570,0.002072,9442,220,0.6444
0.0004,0,0:03:17,0.5828,0.2364,0.2017,0.0547,0.0835,0.002166,9442,230,0.6386
0.0004,0,0:03:10,0.6303,0.2536,0.2074,0.0594,0.0728,0.002259,9442,240,0.6377
0.0004,0,0:03:04,0.5730,0.2386,0.2057,0.0594,0.0799,0.002353,9442,250,0.6456
0.0004,0,0:02:57,0.5552,0.2352,0.2017,0.0578,0.0848,0.002446,9442,260,0.6470
0.0004,0,0:02:51,0.5651,0.2466,0.2011,0.0501,0.0628,0.002540,9442,270,0.6401
