data,epoch,eta,loss,loss_box_reg,loss_classifier,loss_objectness,loss_rpn_box_reg,lr,max_mem,step,time
0.6729,0,3:40:15,1.9992,0.1016,0.7202,0.9857,0.1916,0.000010,9078,0,1.7665
0.0002,0,1:21:11,0.6987,0.1542,0.1686,0.2350,0.1265,0.000509,9583,100,0.6504
0.0002,0,1:19:26,0.7092,0.1319,0.1722,0.2289,0.1232,0.001009,9583,200,0.6541
0.0002,0,1:18:05,0.6733,0.1469,0.1872,0.2450,0.1090,0.001508,9583,300,0.6496
0.0002,0,1:16:51,0.6480,0.1397,0.1803,0.2046,0.1121,0.002008,9583,400,0.6460
0.0002,0,1:15:42,0.6382,0.1261,0.1544,0.2290,0.1139,0.002507,9583,500,0.6488
0.0002,0,1:14:33,0.6070,0.1160,0.1730,0.1859,0.1101,0.003007,9583,600,0.6453
0.0002,0,1:13:25,0.6225,0.1046,0.1728,0.2093,0.1063,0.003506,9583,700,0.6446
0.0002,0,1:12:19,0.5945,0.1344,0.1751,0.1807,0.0816,0.004006,9583,800,0.6482
0.0002,0,1:11:14,0.6219,0.1241,0.1730,0.2104,0.1059,0.004505,9583,900,0.6493
0.0002,0,1:10:08,0.6233,0.1254,0.1814,0.1980,0.0854,0.005000,9583,1000,0.6481
0.0001,0,1:09:02,0.6301,0.1305,0.1799,0.2146,0.1131,0.005000,9583,1100,0.6489
0.0001,0,1:07:57,0.5712,0.1255,0.1552,0.1523,0.0882,0.005000,9583,1200,0.6492
0.0002,0,1:06:51,0.6087,0.1035,0.1603,0.1945,0.0910,0.005000,9583,1300,0.6464
0.0002,0,1:05:47,0.6002,0.1159,0.1834,0.1949,0.1042,0.005000,9583,1400,0.6493
0.0001,0,1:04:41,0.5495,0.1216,0.1612,0.1629,0.0937,0.005000,9583,1500,0.6466
0.0001,0,1:03:36,0.5515,0.1071,0.1618,0.1765,0.0955,0.005000,9583,1600,0.6496
0.0002,0,1:02:32,0.5845,0.1209,0.1740,0.1935,0.0970,0.005000,9583,1700,0.6506
0.0001,0,1:01:27,0.5720,0.1160,0.1675,0.1886,0.0942,0.005000,9583,1800,0.6509
