Epoch,Metric Type,IoU,Area,maxDets,Value
0,Precision,0.50:0.95,all,100,0.210
0,Precision,0.50,all,100,0.393
0,Precision,0.75,all,100,0.202
0,Precision,0.50:0.95,small,100,0.120
0,Precision,0.50:0.95,medium,100,0.183
0,Precision,0.50:0.95,large,100,0.368
0,Recall,0.50:0.95,all,1,0.140
0,Recall,0.50:0.95,all,10,0.316
0,Recall,0.50:0.95,all,100,0.533
0,Recall,0.50:0.95,small,100,0.404
0,Recall,0.50:0.95,medium,100,0.425
0,Recall,0.50:0.95,large,100,0.750
1,Precision,0.50:0.95,all,100,0.211
1,Precision,0.50,all,100,0.387
1,Precision,0.75,all,100,0.208
1,Precision,0.50:0.95,small,100,0.119
1,Precision,0.50:0.95,medium,100,0.181
1,Precision,0.50:0.95,large,100,0.350
1,Recall,0.50:0.95,all,1,0.128
1,Recall,0.50:0.95,all,10,0.314
1,Recall,0.50:0.95,all,100,0.517
1,Recall,0.50:0.95,small,100,0.373
1,Recall,0.50:0.95,medium,100,0.444
1,Recall,0.50:0.95,large,100,0.748
